id,name_en,name_hans,name_hant,name_jp
1,Master Ball,大师球,大師球,マスターボール
2,Ultra Ball,高级球,高級球,ハイパーボール
3,Great Ball,超级球,超級球,スーパーボール
4,Poké Ball,精灵球,精靈球,モンスターボール
5,Safari Ball,狩猎球,狩獵球,サファリボール
6,Net Ball,捕网球,捕網球,ネットボール
7,Dive Ball,潜水球,潛水球,ダイブボール
8,Nest Ball,巢穴球,巢穴球,ネストボール
9,Repeat Ball,重复球,重複球,リピートボール
10,Timer Ball,计时球,計時球,タイマーボール
11,Luxury Ball,豪华球,豪華球,ゴージャスボール
12,Premier Ball,纪念球,紀念球,プレミアボール
13,Dusk Ball,黑暗球,黑暗球,ダークボール
14,Heal Ball,治愈球,治癒球,ヒールボール
15,Quick Ball,先机球,先機球,クイックボール
16,Cherish Ball,贵重球,貴重球,プレシャスボール
17,Potion,伤药,傷藥,キズぐすり
18,Antidote,解毒药,解毒藥,どくけし
19,Burn Heal,灼伤药,灼傷藥,やけどなおし
20,Ice Heal,解冻药,解凍藥,こおりなおし
21,Awakening,解眠药,解眠藥,ねむけざまし
22,Paralyze Heal,解麻药,解麻藥,まひなおし
23,Full Restore,全复药,全復藥,かいふくのくすり
24,Max Potion,全满药,全滿藥,まんたんのくすり
25,Hyper Potion,厉害伤药,厲害傷藥,すごいキズぐすり
26,Super Potion,好伤药,好傷藥,いいキズぐすり
27,Full Heal,万灵药,萬靈藥,なんでもなおし
28,Revive,活力碎片,活力碎片,げんきのかけら
29,Max Revive,活力块,活力塊,げんきのかたまり
30,Fresh Water,美味之水,美味之水,おいしいみず
31,Soda Pop,劲爽汽水,勁爽汽水,サイコソーダ
32,Lemonade,果汁牛奶,果汁牛奶,ミックスオレ
33,Moomoo Milk,哞哞鲜奶,哞哞鮮奶,モーモーミルク
34,Energy Powder,元气粉,元氣粉,ちからのこな
35,Energy Root,元气根,元氣根,ちからのねっこ
36,Heal Powder,万能粉,萬能粉,ばんのうごな
37,Revival Herb,复活草,復活草,ふっかつそう
38,Ether,ＰＰ单项小补剂,ＰＰ單項小補劑,ピーピーエイド
39,Max Ether,ＰＰ单项全补剂,ＰＰ單項全補劑,ピーピーリカバー
40,Elixir,ＰＰ多项小补剂,ＰＰ多項小補劑,ピーピーエイダー
41,Max Elixir,ＰＰ多项全补剂,ＰＰ多項全補劑,ピーピーマックス
42,Lava Cookie,釜炎仙贝,釜炎仙貝,フエンせんべい
43,Berry Juice,树果汁,樹果汁,きのみジュース
44,Sacred Ash,圣灰,聖灰,せいなるはい
45,HP Up,ＨＰ增强剂,ＨＰ增強劑,マックスアップ
46,Protein,攻击增强剂,攻擊增強劑,タウリン
